_id,title,mainSummary,body,rumorType,crawlTime
5fec75ac7d4ebd33f8361e0d,提倡家庭聚餐控制在 10 人以下,"国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格","国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格",TRUE,2020/12/30 20:42
5fec70d47d4ebd33f8361e0c,提倡家庭聚餐控制在 10 人以下,"国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格","国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格",TRUE,2020/12/30 20:21
5fec70577d4ebd33f8361e0b,美国出现首例变异新冠病毒感染者,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,TRUE,2020/12/30 20:19
5fec70197d4ebd33f8361e0a,​国家卫健委：提倡家庭私人聚会聚餐等控制在 10 人以下,"国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格","国务院联防联控机制今天（12月30日）15时在北京召开新闻发布会，介绍两节期间疫情防控等情况。国家卫生健康委疾控局一级巡视员贺青华表示，提倡家庭私人聚会聚餐等控制在10人以下。
他说，元旦、新年的到来，年会、聚会等人群聚集的机会增多，给疫情防控增加了难度。元旦、春节期间疫情防控工作的核心措施是减少人员流动、减少人员聚集、减少旅途风险，加强个人防护、加强社区防控、加强外防输入，严格落实四方责任，严格",TRUE,2020/12/30 20:18
5fec665c7d4ebd33f8361e09,美国出现首例变异新冠病毒感染者,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,TRUE,2020/12/30 19:36
5fec65a37d4ebd33f8361e08,美国出现首例变异新冠病毒感染者,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,当地时间12月29日，美国科罗拉多卫生官员表示，科罗拉多当地实验室确诊了美国首例变异新冠病毒感染者，并已通知美疾控中心。此感染者是名20多岁的男性，没有旅行经历，目前在隔离状态中。科罗拉多州州长表示，“我们对这种变异新冠病毒了解不多，但英国的科学家曾警告，该病毒更具有传染性。科罗拉多州居民的健康与安全是我们的重中之重，我们将密切监视这例感染的情况并尽最大努力阻止该病毒的传播。”,TRUE,2020/12/30 19:33
5fec51ec7d4ebd33f8361db8,北京顺义取消100人以上大型活动,12月30日，北京市第196场新冠肺炎疫情防控工作新闻发布会召开。顺义区委常委、常务副区长支现伟介绍，顺义区全面升级社会面防控，全部取消100人以上的大型活动，暂停举办各类聚餐、演出等聚集性活动。,12月30日，北京市第196场新冠肺炎疫情防控工作新闻发布会召开。顺义区委常委、常务副区长支现伟介绍，顺义区全面升级社会面防控，全部取消100人以上的大型活动，暂停举办各类聚餐、演出等聚集性活动。,TRUE,2020/12/30 18:09
5fec3eac7d4ebd33f8361db7,韩国累计确诊新冠肺炎病例近6万 集体感染事件频发,韩国中央防疫对策本部30日通报，截至29日，韩国新冠肺炎累计确诊病例接近6万，各地疗养设施和服刑场所集体感染事件频发。韩国29日单日新增确诊病例1050例，累计确诊59773例。单日新增病例连续两天超过千例。韩国近期各地的疗养设施和服刑场所集体感染事件频发，重症患者和死亡病例激增。另据报道，韩国首尔东部看守所聚集性感染的新冠确诊病例数进一步增加，截至30日，东部看守所累计报告相关确诊病例792例，成为韩国迄今确诊人数最多的单一设施。,韩国中央防疫对策本部30日通报，截至29日，韩国新冠肺炎累计确诊病例接近6万，各地疗养设施和服刑场所集体感染事件频发。韩国29日单日新增确诊病例1050例，累计确诊59773例。单日新增病例连续两天超过千例。韩国近期各地的疗养设施和服刑场所集体感染事件频发，重症患者和死亡病例激增。另据报道，韩国首尔东部看守所聚集性感染的新冠确诊病例数进一步增加，截至30日，东部看守所累计报告相关确诊病例792例，成为韩国迄今确诊人数最多的单一设施。,TRUE,2020/12/30 16:47
5fec3e6d7d4ebd33f8361db5,沈阳严格控制人员聚集 集体团拜和大型慰问、联欢、聚餐、培训等活动一律取消,今天（30日）下午，沈阳市召开疫情防控新闻发布会。12月29日0时至24时，沈阳市新增2例本土新冠肺炎确诊病例和1例本土无症状感染者。发布会上，沈阳市人民政府副秘书长赵继凯表示：严格落实辽宁省总指挥部第16号通知要求，严控大型会议活动的数量、规模、时间，实施全过程闭环管控。集体团拜和大型慰问、联欢、聚餐、培训等活动一律取消。,今天（30日）下午，沈阳市召开疫情防控新闻发布会。12月29日0时至24时，沈阳市新增2例本土新冠肺炎确诊病例和1例本土无症状感染者。发布会上，沈阳市人民政府副秘书长赵继凯表示：严格落实辽宁省总指挥部第16号通知要求，严控大型会议活动的数量、规模、时间，实施全过程闭环管控。集体团拜和大型慰问、联欢、聚餐、培训等活动一律取消。,TRUE,2020/12/30 16:46
5fec3e6d7d4ebd33f8361db6,沈阳要求直接从事高风险作业人群核酸检测“一周一检”,今天（30日）下午，沈阳市召开疫情防控新闻发布会。12月29日0时至24时，沈阳市新增2例本土新冠肺炎确诊病例和1例本土无症状感染者。发布会上，沈阳市人民政府副秘书长赵继凯表示：对沈阳市作为第一入境点且目的地为沈阳的入境人员，严格实施“14+7”天集中隔离观察。对经第三地入境来（返）沈人员，入沈前已实施14天集中隔离观察且可以出具当地解除隔离证明的，继续实施7天集中隔离观察。对国内中高风险地区来（返）沈人员，严格实施14天集中隔离观察。,今天（30日）下午，沈阳市召开疫情防控新闻发布会。12月29日0时至24时，沈阳市新增2例本土新冠肺炎确诊病例和1例本土无症状感染者。发布会上，沈阳市人民政府副秘书长赵继凯表示：对沈阳市作为第一入境点且目的地为沈阳的入境人员，严格实施“14+7”天集中隔离观察。对经第三地入境来（返）沈人员，入沈前已实施14天集中隔离观察且可以出具当地解除隔离证明的，继续实施7天集中隔离观察。对国内中高风险地区来（返）沈人员，严格实施14天集中隔离观察。,TRUE,2020/12/30 16:46
